Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
fungal infection,itching,nodal_skin_eruptions,dischromic _patches,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
fungal infection,itching,skin_rash,dischromic _patches,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
fungal infection,itching,skin_rash,nodal_skin_eruptions,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
allergy,shivering,chills,watering_from_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
allergy,continuous_sneezing,chills,watering_from_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
allergy,continuous_sneezing,shivering,watering_from_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
allergy,continuous_sneezing,shivering,chills,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,acidity,vomiting,cough,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gerd,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,itching,stomach_pain,burning_micturition,spotting_ urination,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,itching,skin_rash,burning_micturition,spotting_ urination,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,itching,skin_rash,stomach_pain,spotting_ urination,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
drug reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
aids,patches_in_throat,high_fever,extra_marital_contacts,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
aids,muscle_wasting,high_fever,extra_marital_contacts,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
aids,muscle_wasting,patches_in_throat,high_fever,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gastroenteritis,sunken_eyes,dehydration,diarrhoea,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gastroenteritis,vomiting,dehydration,diarrhoea,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gastroenteritis,vomiting,sunken_eyes,diarrhoea,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
gastroenteritis,vomiting,sunken_eyes,dehydration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,headache,chest_pain,dizziness,lack_of_concentration,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
hypertension,headache,chest_pain,dizziness,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
